month day hour Development
12 14 23.125 0
12 14 23.208 0
12 14 23.292 0
12 14 23.375 0
12 14 23.458 0
12 14 23.542 0
12 14 23.625 0
12 14 23.708 0
12 14 23.792 0
12 14 23.875 0
12 14 23.958 0
12 15 0.042 0
12 15 0.125 0
12 15 0.208 0
12 15 0.292 0
12 15 0.375 0
12 15 0.458 0
12 15 0.542 0
12 15 0.625 0
12 15 0.708 0
12 15 0.792 0
12 15 0.875 0
12 15 0.958 0
12 15 1.042 0
12 15 1.125 0
12 15 1.208 0
12 15 1.292 0
12 15 1.375 0
12 15 1.458 0
12 15 1.542 0
12 15 1.625 0
12 15 1.708 0
12 15 1.792 0
12 15 1.875 0
12 15 1.958 0
12 15 2.042 0
12 15 2.125 0
12 15 2.208 0
12 15 2.292 0
12 15 2.375 0
12 15 2.458 0
12 15 2.542 0
12 15 2.625 0
12 15 2.708 0
12 15 2.792 0
12 15 2.875 0
12 15 2.958 0
12 15 3.042 0
12 15 3.125 0
12 15 3.208 0
12 15 3.292 0
12 15 3.375 0
12 15 3.458 0
12 15 3.542 0
12 15 3.625 0
12 15 3.708 0
12 15 3.792 0
12 15 3.875 0
12 15 3.958 0
12 15 4.042 0
12 15 4.125 0
12 15 4.208 0
12 15 4.292 0
12 15 4.375 0
12 15 4.458 0
12 15 4.542 0
12 15 4.625 0
12 15 4.708 0
12 15 4.792 0
12 15 4.875 0
12 15 4.958 0
12 15 5.042 0
12 15 5.125 0
12 15 5.208 0
12 15 5.292 0
12 15 5.375 0
12 15 5.458 0
12 15 5.542 0
12 15 5.625 0
12 15 5.708 0
12 15 5.792 0
12 15 5.875 0
12 15 5.958 0
12 15 6.042 0
12 15 6.125 0
12 15 6.208 0
12 15 6.292 0
12 15 6.375 0
12 15 6.458 0
12 15 6.542 0
12 15 6.625 0
12 15 6.708 0
12 15 6.792 0
12 15 6.875 0
12 15 6.958 0
12 15 7.042 0
12 15 7.125 0
12 15 7.208 0
12 15 7.292 0
12 15 7.375 0
12 15 7.458 0
12 15 7.542 0
12 15 7.625 0
12 15 7.708 0
12 15 7.792 0
12 15 7.875 0
12 15 7.958 0
12 15 8.042 0
12 15 8.125 0
12 15 8.208 0
12 15 8.292 0
12 15 8.375 0
12 15 8.458 0
12 15 8.542 0
12 15 8.625 0
12 15 8.708 0
12 15 8.792 0
12 15 8.875 1
12 15 8.958 1
12 15 9.042 1
12 15 9.125 1
12 15 9.208 1
12 15 9.292 1
12 15 9.375 1
12 15 9.458 1
12 15 9.542 1
12 15 9.625 1
12 15 9.708 1
12 15 9.792 1
12 15 9.875 1
12 15 9.958 0
12 15 10.042 1
12 15 10.125 1
12 15 10.208 1
12 15 10.292 1
12 15 10.375 1
12 15 10.458 1
12 15 10.542 1
12 15 10.625 1
12 15 10.708 1
12 15 10.792 1
12 15 10.875 1
12 15 10.958 1
